article,creationDate,link
Sprachassistenten halten Einzug ins Auto,06.01.2017,/newsticker/meldung/Sprachassistenten-halten-Einzug-ins-Auto-3589885.html
Stephen Hawking: Schwarze Löcher dampfen zum 75. Geburtstag,06.01.2017,/newsticker/meldung/Stephen-Hawking-Schwarze-Loecher-dampfen-zum-75-Geburtstag-3565916.html
Online-Archive versammeln Obamas Social-Media-Posts und TV-Statements von Trump,06.01.2017,/newsticker/meldung/Online-Archive-versammeln-Obamas-Social-Media-Posts-und-TV-Statements-von-Trump-3572230.html
US-Geheimdienste sorgen sich um ihre digitale Vormachtstellung,06.01.2017,/newsticker/meldung/US-Geheimdienste-sorgen-sich-um-ihre-digitale-Vormachtstellung-3589863.html
heise online: HTTPS auch für Mobilgeräte,06.01.2017,/newsticker/meldung/heise-online-HTTPS-auch-fuer-Mobilgeraete-3590473.html
Urteil: Elektroautos müssen an Ladestation auch aufladen,06.01.2017,/newsticker/meldung/Urteil-Elektroautos-muessen-an-Ladestation-auch-aufladen-3590395.html
Unveröffentlichte iOS-Alternative: Video soll iPhone-Betriebssystem im iPod-Look zeigen,06.01.2017,/newsticker/meldung/Unveroeffentlichte-iOS-Alternative-Video-soll-iPhone-Betriebssystem-im-iPod-Look-zeigen-3590273.html
Inhouse Cloud: Nutanix bringt Version 5.0 seines Acropolis OS,06.01.2017,/newsticker/meldung/Inhouse-Cloud-Nutanix-bringt-Version-5-0-seines-Acropolis-OS-3590359.html
Nahverkehr: Dobrindt will einheitliche digitale Fahrkarten für alle Städte,06.01.2017,/newsticker/meldung/Nahverkehr-Dobrindt-will-einheitliche-digitale-Fahrkarten-fuer-alle-Staedte-3590126.html
MPEG-H: LG-Fernseher unterstützen neues Audio-Format,06.01.2017,/newsticker/meldung/MPEG-H-LG-Fernseher-unterstuetzen-neues-Audio-Format-3590340.html
Digitalradio: Norwegen beginnt mit Abschaltung von UKW-Stationen,06.01.2017,/newsticker/meldung/Digitalradio-Norwegen-beginnt-mit-Abschaltung-von-UKW-Stationen-3590297.html
Enterprise Linux: Versionspflege bei Red Hat,06.01.2017,/newsticker/meldung/Enterprise-Linux-Versionspflege-bei-Red-Hat-3590171.html
Netgear will Bug-Jägern bis zu 15.000 US-Dollar zahlen,06.01.2017,/newsticker/meldung/Netgear-will-Bug-Jaegern-bis-zu-15-000-US-Dollar-zahlen-3590320.html
IoT-Sicherheit: US-Handelskommission erhebt schwere Vorwürfe gegen D-Link,06.01.2017,/newsticker/meldung/IoT-Sicherheit-US-Handelskommission-erhebt-schwere-Vorwuerfe-gegen-D-Link-3590151.html
Wunsch und Wirklichkeit: Autowelt sucht Weg in die Zukunft,06.01.2017,/newsticker/meldung/Wunsch-und-Wirklichkeit-Autowelt-sucht-Weg-in-die-Zukunft-3590201.html
Intel Compute Card: Winziges PC-Modul,06.01.2017,/newsticker/meldung/Intel-Compute-Card-Winziges-PC-Modul-3590155.html
Alpine: Nachrüst-Receiver mit drahtloser CarPlay-Unterstützung,06.01.2017,/newsticker/meldung/Alpine-Nachruest-Receiver-mit-drahtloser-CarPlay-Unterstuetzung-3590153.html
Support-Scammer wollen Macs lahmlegen,06.01.2017,/newsticker/meldung/Support-Scammer-wollen-Macs-lahmlegen-3590115.html
Linux-Variante des Erpressungs-Trojaners KillDisk soll Schlüssel vergessen,06.01.2017,/newsticker/meldung/Linux-Variante-des-Erpressungs-Trojaners-KillDisk-soll-Schluessel-vergessen-3590024.html
Google übernimmt Limes Audio für bessere Sprachqualität in Video-Konferenzen,06.01.2017,/newsticker/meldung/Google-uebernimmt-Limes-Audio-fuer-bessere-Sprachqualitaet-in-Video-Konferenzen-3590021.html
Dell Canvas statt Surface Studio: Digitale 27-Zoll-Leinwand mit Stift und Drehreglern für PCs,06.01.2017,/newsticker/meldung/Dell-Canvas-statt-Surface-Studio-Digitale-27-Zoll-Leinwand-mit-Stift-und-Drehreglern-fuer-PCs-3589878.html
Helle Laserbeamer kompakt oder mit Kurzdistanzoptik ,06.01.2017,/newsticker/meldung/Helle-Laserbeamer-kompakt-oder-mit-Kurzdistanzoptik-3590017.html
ZTEs Crowdsourcing-Smartphone jetzt auf Kickstarter,06.01.2017,/newsticker/meldung/ZTEs-Crowdsourcing-Smartphone-jetzt-auf-Kickstarter-3590030.html
Steuernachforderung: Apple-Chef Tim Cook will nicht vor irischem Parlamentsausschuss erscheinen,06.01.2017,/newsticker/meldung/Steuernachforderung-Apple-Chef-Tim-Cook-will-nicht-vor-irischem-Parlamentsausschuss-erscheinen-3590042.html
"Dolby Vision: TVs, Player, Filme – und eine Überraschung",06.01.2017,/newsticker/meldung/Dolby-Vision-TVs-Player-Filme-und-eine-Ueberraschung-3589906.html
Späte Facebook-Fahndung: Ausschuss befragt Hamburgs Justizsenator,06.01.2017,/newsticker/meldung/Spaete-Facebook-Fahndung-Ausschuss-befragt-Hamburgs-Justizsenator-3590019.html
Sony zeigt TV-Flaggschiff mit OLED-Display und überraschendem Soundkonzept,06.01.2017,/newsticker/meldung/Sony-zeigt-TV-Flaggschiff-mit-OLED-Display-und-ueberraschendem-Soundkonzept-3589854.html
Dell erweitert und erneuert die XPS-Familie,06.01.2017,/newsticker/meldung/Dell-erweitert-und-erneuert-die-XPS-Familie-3589803.html
Sony: Hochauflösende Videowand aus Crystal LEDs,06.01.2017,/newsticker/meldung/Sony-Hochaufloesende-Videowand-aus-Crystal-LEDs-3589891.html
Continental entwickelt 3D Flash LiDAR ohne bewegliche Teile,06.01.2017,/newsticker/meldung/Continental-entwickelt-3D-Flash-LiDAR-ohne-bewegliche-Teile-3589833.html
Smartphone-Marktführer Samsung erwartet mehr operativen Gewinn,06.01.2017,/newsticker/meldung/Smartphone-Marktfuehrer-Samsung-erwartet-mehr-operativen-Gewinn-3589857.html
Maaßen: Brauchen eine zentrale Koordinierung des Verfassungsschutzes,06.01.2017,/newsticker/meldung/Maassen-Brauchen-eine-zentrale-Koordinierung-des-Verfassungsschutzes-3589908.html
Autonome Autos: Hyundai zeigt Prototyp eines hochautomatisierten Ioniq,06.01.2017,/newsticker/meldung/Autonome-Autos-Hyundai-zeigt-Prototyp-eines-hochautomatisierten-Ioniq-3589829.html
Huawei bringt das Mate 9 in die USA – mit Alexa und Daydream,06.01.2017,/newsticker/meldung/Huawei-bringt-das-Mate-9-in-die-USA-mit-Alexa-und-Daydream-3589781.html
Modulares Smart-TV: Xiaomi gibt sein CES-Debüt mit dem Mi TV 4,06.01.2017,/newsticker/meldung/Modulares-Smart-TV-Xiaomi-gibt-sein-CES-Debuet-mit-dem-Mi-TV-4-3589744.html
Sprechende Roboter für Haushalt und Flughafen ,06.01.2017,/newsticker/meldung/Sprechende-Roboter-fuer-Haushalt-und-Flughafen-3589733.html
"OLED-TVs von LG: Superdünn, Dolby Vision und Dolby Atmos",06.01.2017,/newsticker/meldung/OLED-TVs-von-LG-Superduenn-Dolby-Vision-und-Dolby-Atmos-3589712.html
US-Forscher wollen Gehirnerschütterungen mit Reaktion auf Sprache diagnostizieren,06.01.2017,/newsticker/meldung/US-Forscher-wollen-Gehirnerschuetterungen-mit-Reaktion-auf-Sprache-diagnostizieren-3589077.html
Geheimdienste-Direktor wünscht sich Amt für US-Propaganda,06.01.2017,/newsticker/meldung/Geheimdienste-Direktor-wuenscht-sich-Amt-fuer-US-Propaganda-3589805.html
Huawei: Der große Tag des Herrn Yu,06.01.2017,/newsticker/meldung/Huawei-Der-grosse-Tag-des-Herrn-Yu-3589843.html
HTC Vive mit Noitom-Hi5-Handschuh ausprobiert: Ohne Controller in die VR greifen,06.01.2017,/newsticker/meldung/HTC-Vive-mit-Noitom-Hi5-Handschuh-ausprobiert-Ohne-Controller-in-die-VR-greifen-3589783.html
UltraSharp UP3218K: Dell präsentiert 8K-Monitor,06.01.2017,/newsticker/meldung/UltraSharp-UP3218K-Dell-praesentiert-8K-Monitor-3589790.html
Oticon Opn: Erstes Hörgerät mit IFTTT-Anbindung,06.01.2017,/newsticker/meldung/Oticon-Opn-Erstes-Hoergeraet-mit-IFTTT-Anbindung-3588633.html
Triby IO: Vom Küchen-Lautsprecher zur Smart-Home-Zentrale,06.01.2017,/newsticker/meldung/Triby-IO-Vom-Kuechen-Lautsprecher-zur-Smart-Home-Zentrale-3589619.html
"Mercedes: Zustellkonzepte mit Vans, Drohnen und Robotern",06.01.2017,/newsticker/meldung/Mercedes-Zustellkonzepte-mit-Vans-Drohnen-und-Robotern-3589810.html
Sci-Fi zum Selberdrucken: der akustische Traktorstrahl,06.01.2017,/newsticker/meldung/Sci-Fi-zum-Selberdrucken-der-akustische-Traktorstrahl-3589085.html
Der I.D. von Volkswagen soll ab 2025 autonom fahren,06.01.2017,/newsticker/meldung/Der-I-D-von-Volkswagen-soll-ab-2025-autonom-fahren-3589808.html
Smartphones: China-Importe für kompromissbereite Sparfüchse,06.01.2017,/newsticker/meldung/Smartphones-China-Importe-fuer-kompromissbereite-Sparfuechse-3588794.html
Viel Lärm um nichts: 3D-Kopfhörer Ossic X ausprobiert,06.01.2017,/newsticker/meldung/Viel-Laerm-um-nichts-3D-Kopfhoerer-Ossic-X-ausprobiert-3589796.html
Angriff auf Spreadshirt-Konten,05.01.2017,/newsticker/meldung/Angriff-auf-Spreadshirt-Konten-3589579.html
Amazons Roboterarmee wächst um fast 50 Prozent in einem Jahr,05.01.2017,/newsticker/meldung/Amazons-Roboterarmee-waechst-um-fast-50-Prozent-in-einem-Jahr-3589617.html
LG: Kunden wollen keine modularen Smartphones,05.01.2017,/newsticker/meldung/LG-Kunden-wollen-keine-modularen-Smartphones-3589446.html
Österreichs Innenminister fordert lückenlose Überwachung,05.01.2017,/newsticker/meldung/Oesterreichs-Innenminister-fordert-lueckenlose-Ueberwachung-3589540.html
Audi und Nvidia arbeiten an KI-Auto,05.01.2017,/newsticker/meldung/Audi-und-Nvidia-arbeiten-an-KI-Auto-3589599.html
Browser-Add-On Stylish lässt Nutzerdaten sammeln,05.01.2017,/newsticker/meldung/Browser-Add-On-Stylish-laesst-Nutzerdaten-sammeln-3585601.html
Vektorgrafikprogramm Inkscape 0.92 bringt zahlreiche neue Funktionen,05.01.2017,/newsticker/meldung/Vektorgrafikprogramm-Inkscape-0-92-bringt-zahlreiche-neue-Funktionen-3589507.html
Apples App Store 2016: 20 Milliarden Dollar für Entwickler,05.01.2017,/newsticker/meldung/Apples-App-Store-2016-20-Milliarden-Dollar-fuer-Entwickler-3589464.html
Erpressungs-Trojaner FireCrypt versucht sich nebenbei an DDoS-Attacke,05.01.2017,/newsticker/meldung/Erpressungs-Trojaner-FireCrypt-versucht-sich-nebenbei-an-DDoS-Attacke-3588900.html
Googles KI AlphaGo gewinnt und gewinnt,05.01.2017,/newsticker/meldung/Googles-KI-AlphaGo-gewinnt-und-gewinnt-3589295.html
Verbraucherschützer verreißen Dobrindts Gesetzentwurf zum automatisierten Fahren,05.01.2017,/newsticker/meldung/Verbraucherschuetzer-verreissen-Dobrindts-Gesetzentwurf-zum-automatisierten-Fahren-3589269.html
AMDs Next-Gen-Grafikchip Vega: Erste Details zur High-Speed-Architektur,05.01.2017,/newsticker/meldung/AMDs-Next-Gen-Grafikchip-Vega-Erste-Details-zur-High-Speed-Architektur-3577830.html
"Kritik aus China an Trumps ""Twitter-Diplomatie""",05.01.2017,/newsticker/meldung/Kritik-aus-China-an-Trumps-Twitter-Diplomatie-3589222.html
"AMD: Ryzen-Mainboards mit X370, X300, B350 und A320",05.01.2017,/newsticker/meldung/AMD-Ryzen-Mainboards-mit-X370-X300-B350-und-A320-3589200.html
Erste MicroSD-Karte mit A1-Spezifikation,05.01.2017,/newsticker/meldung/Erste-MicroSD-Karte-mit-A1-Spezifikation-3589246.html
Terrorbekämpfung: Deutsche Telekom will Einschränkungen beim Verkauf von Prepaid-SIMs,05.01.2017,/newsticker/meldung/Terrorbekaempfung-Deutsche-Telekom-will-Einschraenkungen-beim-Verkauf-von-Prepaid-SIMs-3589073.html
Funkschwemme: Mehr Mesh-WLAN-Verteilersysteme für nahtlose WLAN-Abdeckung rollen an,05.01.2017,/newsticker/meldung/Funkschwemme-Mehr-Mesh-WLAN-Verteilersysteme-fuer-nahtlose-WLAN-Abdeckung-rollen-an-3589187.html
Protest gegen Oettingers Beförderung in der EU,05.01.2017,/newsticker/meldung/Protest-gegen-Oettingers-Befoerderung-in-der-EU-3589191.html
USB-Sticks mit 2 TByte und mit 420 MByte/s,05.01.2017,/newsticker/meldung/USB-Sticks-mit-2-TByte-und-mit-420-MByte-s-3589185.html
Intel zeigt Tablet-Hybrid mit 10-Nanometer-CPU und VR-Brillen,05.01.2017,/newsticker/meldung/Intel-zeigt-Tablet-Hybrid-mit-10-Nanometer-CPU-und-VR-Brillen-3589108.html
Windenergie-Verband: Windkraftanlagen sind trotz Vorfällen sicher,05.01.2017,/newsticker/meldung/Windenergie-Verband-Windkraftanlagen-sind-trotz-Vorfaellen-sicher-3589052.html
Der CES-Blick in die Zukunft: Sprachsteuerung löst grafische Benutzeroberfläche ab,05.01.2017,/newsticker/meldung/Der-CES-Blick-in-die-Zukunft-Sprachsteuerung-loest-grafische-Benutzeroberflaeche-ab-3588624.html
NASA-Sonden sollen Metall-Asteroiden und Jupiter-Trojaner erkunden,05.01.2017,/newsticker/meldung/NASA-Sonden-sollen-Metall-Asteroiden-und-Jupiter-Trojaner-erkunden-3588898.html
LG zeigt Ultra HD Blu-ray Player mit Dolby-Vision-Unterstützung,05.01.2017,/newsticker/meldung/LG-zeigt-Ultra-HD-Blu-ray-Player-mit-Dolby-Vision-Unterstuetzung-3588767.html
Lenovo erneuert die Thinkpad-X1-Familie,05.01.2017,/newsticker/meldung/Lenovo-erneuert-die-Thinkpad-X1-Familie-3588816.html
Googles Assistant kommt in Smart TVs,05.01.2017,/newsticker/meldung/Googles-Assistant-kommt-in-Smart-TVs-3588844.html
Lenovo Miix 720: Surface-Pro-Konkurrenz mit Thunderbolt,05.01.2017,/newsticker/meldung/Lenovo-Miix-720-Surface-Pro-Konkurrenz-mit-Thunderbolt-3588802.html
Streaming-Konsole Nvidia Shield TV mit Google Assistant vorgestellt,05.01.2017,/newsticker/meldung/Streaming-Konsole-Nvidia-Shield-TV-mit-Google-Assistant-vorgestellt-3588796.html
"Asus Zenfone 3 Zoom: Smartphone mit 2,3-fach-Zoom und starkem Akku",05.01.2017,/newsticker/meldung/Asus-Zenfone-3-Zoom-Smartphone-mit-2-3-fach-Zoom-und-starkem-Akku-3588741.html
Google bringt eine Python-Runtime in Go,05.01.2017,/newsticker/meldung/Google-bringt-eine-Python-Runtime-in-Go-3588639.html
Apple: Eine Milliarde US-Dollar für Softbanks Risikokapitalfonds,05.01.2017,/newsticker/meldung/Apple-Eine-Milliarde-US-Dollar-fuer-Softbanks-Risikokapitalfonds-3588721.html
