article,creationDate,link
SmartDeviceLink: Ford und Toyota wollen Entwicklung von Apps für Autos vereinheitlichen,04.01.2017,/newsticker/meldung/SmartDeviceLink-Ford-und-Toyota-wollen-Entwicklung-von-Apps-fuer-Autos-vereinheitlichen-3588265.html
Amazon: Fire TV kommt auf 4K-Fernseher,04.01.2017,/newsticker/meldung/Amazon-Fire-TV-kommt-auf-4K-Fernseher-3587912.html
Kaspersky torpediert SSL-Zertifikatsprüfung,04.01.2017,/newsticker/meldung/Kaspersky-torpediert-SSL-Zertifikatspruefung-3587871.html
"Kinder vs. Alexa: Ein Puppenhaus, kiloweise Kekse und ein Pornoklingelton ",04.01.2017,/newsticker/meldung/Kinder-vs-Alexa-Ein-Puppenhaus-kiloweise-Kekse-und-ein-Pornoklingelton-3587729.html
Inrix holt Alexa ins Auto,04.01.2017,/newsticker/meldung/Inrix-holt-Alexa-ins-Auto-3588034.html
Wegen Vorratsdatenspeicherung: Threema prüft Wegzug aus der Schweiz,04.01.2017,/newsticker/meldung/Wegen-Vorratsdatenspeicherung-Threema-prueft-Wegzug-aus-der-Schweiz-3588009.html
"Beharrliches Problem in iOS und macOS: ""Safari-Webinhalt wurde unerwartet beendet""",04.01.2017,/newsticker/meldung/Beharrliches-Problem-in-iOS-und-macOS-Safari-Webinhalt-wurde-unerwartet-beendet-3587948.html
"BlackBerry, Google und LG patchen unter anderem abermals kritische Stagefright-Lücke",04.01.2017,/newsticker/meldung/BlackBerry-Google-und-LG-patchen-unter-anderem-abermals-kritische-Stagefright-Luecke-3587867.html
Elektroautos bleiben selten auf deutschen Straßen,04.01.2017,/newsticker/meldung/Elektroautos-bleiben-selten-auf-deutschen-Strassen-3587846.html
Zotac ZBox CI549 Nano: Lüfterloser Mini-PC mit zusätzlicher Thunderbolt-GPU,04.01.2017,/newsticker/meldung/Zotac-ZBox-CI549-Nano-Luefterloser-Mini-PC-mit-zusaetzlicher-Thunderbolt-GPU-3587805.html
Elektro-Auto: Chrysler entwickelt elektrischen Minivan für die Generation Y,04.01.2017,/newsticker/meldung/Elektro-Auto-Chrysler-entwickelt-elektrischen-Minivan-fuer-die-Generation-Y-3587672.html
Eclipse Two soll zur nächsten Generation der Entwicklungsumgebung werden,04.01.2017,/newsticker/meldung/Eclipse-Two-soll-zur-naechsten-Generation-der-Entwicklungsumgebung-werden-3587577.html
Picobrew: Vom Bierpanscher zum Braumeister dank KI,04.01.2017,/newsticker/meldung/Picobrew-Vom-Bierpanscher-zum-Braumeister-dank-KI-3587491.html
Wikileaks will Infos zu möglicher Datenvernichtung der US-Regierung belohnen,04.01.2017,/newsticker/meldung/Wikileaks-will-Infos-zu-moeglicher-Datenvernichtung-der-US-Regierung-belohnen-3587580.html
"Mattel zeigt ""Smart Home Hub für Kinder""",04.01.2017,/newsticker/meldung/Mattel-zeigt-Smart-Home-Hub-fuer-Kinder-3587404.html
"Spekulationen um ""Super Mario Run""-Umsätze",04.01.2017,/newsticker/meldung/Spekulationen-um-Super-Mario-Run-Umsaetze-3587371.html
Eindringling nimmt offenbar MongoDB-Datenbanken als Geisel,04.01.2017,/newsticker/meldung/Eindringling-nimmt-offenbar-MongoDB-Datenbanken-als-Geisel-3587479.html
AirBar soll MacBook Air Touchscreen-Fähigkeiten geben,04.01.2017,/newsticker/meldung/AirBar-soll-MacBook-Air-Touchscreen-Faehigkeiten-geben-3587369.html
"Qualcomm-Mobilprozessor Snapdragon 835: GBit-LTE, acht Kerne, 10-nm-Fertigung",04.01.2017,/newsticker/meldung/Qualcomm-Mobilprozessor-Snapdragon-835-GBit-LTE-acht-Kerne-10-nm-Fertigung-3587314.html
Elektro-Autos: Faraday Future zeigt Serien-Modell FF91 - und will die Autoindustrie auf den Kopf stellen,04.01.2017,/newsticker/meldung/Elektro-Autos-Faraday-Future-zeigt-Serien-Modell-FF91-und-will-die-Autoindustrie-auf-den-Kopf-3587394.html
"""Statistisch gesehen"": Wollen die Deutschen autonome Autos?",04.01.2017,/newsticker/meldung/Statistisch-gesehen-Wollen-die-Deutschen-autonome-Autos-3587442.html
Samsung startet mit verbesserten Nanopartikeln Angriff auf OLED-TVs ,04.01.2017,/newsticker/meldung/Samsung-startet-mit-verbesserten-Nanopartikeln-Angriff-auf-OLED-TVs-3587414.html
OWC DEC: Mehr Speicher und Ports für das MacBook Pro,04.01.2017,/newsticker/meldung/OWC-DEC-Mehr-Speicher-und-Ports-fuer-das-MacBook-Pro-3587360.html
Erste smarte Bürste soll für schönes Haar sorgen,04.01.2017,/newsticker/meldung/Erste-smarte-Buerste-soll-fuer-schoenes-Haar-sorgen-3587445.html
Asus Strix GL553VD und GL753VD: Gaming-Notebooks mit GTX 1050,04.01.2017,/newsticker/meldung/Asus-Strix-GL553VD-und-GL753VD-Gaming-Notebooks-mit-GTX-1050-3587309.html
Velux und Netatmo kündigen smarte Raumklima-Lösung an,04.01.2017,/newsticker/meldung/Velux-und-Netatmo-kuendigen-smarte-Raumklima-Loesung-an-3583177.html
Essenslieferdienste: Der Bestell-Boom beim Essen,04.01.2017,/newsticker/meldung/Essenslieferdienste-Der-Bestell-Boom-beim-Essen-3587389.html
Big Data: Datensammelwut der Unternehmen mit Nebenwirkungen,04.01.2017,/newsticker/meldung/Big-Data-Datensammelwut-der-Unternehmen-mit-Nebenwirkungen-3587087.html
Hap2U: Haptisches Feedback für Touch-Displays,04.01.2017,/newsticker/meldung/Hap2U-Haptisches-Feedback-fuer-Touch-Displays-3587385.html
Panasonics neues OLED-TV: richtig hell und farbenfroh,04.01.2017,/newsticker/meldung/Panasonics-neues-OLED-TV-richtig-hell-und-farbenfroh-3587333.html
US-Außenministerium: Keine Zweifel an russischen Hackerangriffen,04.01.2017,/newsticker/meldung/US-Aussenministerium-Keine-Zweifel-an-russischen-Hackerangriffen-3587348.html
ODG R-8 und R-9 ausprobiert: Mixed-Reality-Brillen ab 1000 Dollar,04.01.2017,/newsticker/meldung/ODG-R-8-und-R-9-ausprobiert-Mixed-Reality-Brillen-ab-1000-Dollar-3587331.html
Netatmo: Neue Sicherheitskomponenten fürs smarte Heim,04.01.2017,/newsticker/meldung/Netatmo-Neue-Sicherheitskomponenten-fuers-smarte-Heim-3583175.html
Rohstoff-Förderung ohne Menschen: Bergbau-Unternehmen setzen auf autonome Technik,04.01.2017,/newsticker/meldung/Rohstoff-Foerderung-ohne-Menschen-Bergbau-Unternehmen-setzen-auf-autonome-Technik-3586693.html
Lego Boost: Lego lernt laufen,04.01.2017,/newsticker/meldung/Lego-Boost-Lego-lernt-laufen-3587319.html
Acer Aspire VX und GX: Günstig zocken mit Kaby Lake,04.01.2017,/newsticker/meldung/Acer-Aspire-VX-und-GX-Guenstig-zocken-mit-Kaby-Lake-3587287.html
Honor 6X: Smartphone mit Dual-Kamera kommt nach Deutschland,04.01.2017,/newsticker/meldung/Honor-6X-Smartphone-mit-Dual-Kamera-kommt-nach-Deutschland-3587291.html
Kartendienste: Intel steigt bei Here ein,04.01.2017,/newsticker/meldung/Kartendienste-Intel-steigt-bei-Here-ein-3587316.html
HP Sprout Pro G2: All-in-One-PC mit 3D-Scanner und Touch-Matte,04.01.2017,/newsticker/meldung/HP-Sprout-Pro-G2-All-in-One-PC-mit-3D-Scanner-und-Touch-Matte-3587133.html
Elektroautos: Ford nennt erste Einzelheiten seiner E-Offensive,03.01.2017,/newsticker/meldung/Elektroautos-Ford-nennt-erste-Einzelheiten-seiner-E-Offensive-3587201.html
"Software überlistet: US-Bibliothekare erfinden Kunden, um Bücher zu bewahren",03.01.2017,/newsticker/meldung/Software-ueberlistet-US-Bibliothekare-erfinden-Kunden-um-Buecher-zu-bewahren-3587185.html
HP Envy Curved AiO 34: Schicker All-in-One-PC mit gebogenem Riesendisplay,03.01.2017,/newsticker/meldung/HP-Envy-Curved-AiO-34-Schicker-All-in-One-PC-mit-gebogenem-Riesendisplay-3585751.html
EliteBook x360 13 und Spectre x360 15: Edle Hybrid-Notebooks von HP,03.01.2017,/newsticker/meldung/EliteBook-x360-13-und-Spectre-x360-15-Edle-Hybrid-Notebooks-von-HP-3585734.html
Nvidia GeForce GTX 1050 (Ti): Mittelklasse-Grafikchips für Notebooks,03.01.2017,/newsticker/meldung/Nvidia-GeForce-GTX-1050-Ti-Mittelklasse-Grafikchips-fuer-Notebooks-3585732.html
Intel Core i7-7000: Kaby Lake für Desktops und schnelle Notebooks,03.01.2017,/newsticker/meldung/Intel-Core-i7-7000-Kaby-Lake-fuer-Desktops-und-schnelle-Notebooks-3585658.html
HP stellt Curved-Displays für Gamer und Büroanwender vor,03.01.2017,/newsticker/meldung/HP-stellt-Curved-Displays-fuer-Gamer-und-Bueroanwender-vor-3586818.html
Kaby-Lake-Mainboard Biostar Z270GT9 mit Intel Z270,03.01.2017,/newsticker/meldung/Kaby-Lake-Mainboard-Biostar-Z270GT9-mit-Intel-Z270-3587122.html
Belgien will Datensammlung von Bus- und Bahnreisenden in der EU,03.01.2017,/newsticker/meldung/Belgien-will-Datensammlung-von-Bus-und-Bahnreisenden-in-der-EU-3587105.html
Router-Neuvorstellung: Norton Core soll Heimnetze absichern,03.01.2017,/newsticker/meldung/Router-Neuvorstellung-Norton-Core-soll-Heimnetze-absichern-3586966.html
Linksys kündigt WLAN-Verteiler Velop an,03.01.2017,/newsticker/meldung/Linksys-kuendigt-WLAN-Verteiler-Velop-an-3586976.html
US-Regierungsbericht enthält keine Beweise für russischen Hack im Wahlkampf,03.01.2017,/newsticker/meldung/US-Regierungsbericht-enthaelt-keine-Beweise-fuer-russischen-Hack-im-Wahlkampf-3585937.html
IBMs Watson: Japanische Versicherung ersetzt Mitarbeiter durch KI,03.01.2017,/newsticker/meldung/IBMs-Watson-Japanische-Versicherung-ersetzt-Mitarbeiter-durch-KI-3586963.html
Trüffel auf Teller sind zu profan – da muss ein iPad her!,03.01.2017,/newsticker/meldung/Trueffel-auf-Teller-sind-zu-profan-da-muss-ein-iPad-her-3585611.html
"Zahlen, bitte! 21 Seiten ... die Steve Jobs zum Weinen brachten",03.01.2017,/newsticker/meldung/Zahlen-bitte-21-Seiten-die-Steve-Jobs-zum-Weinen-brachten-3575966.html
Release Candidate der verteilten Datenbank TiDB veröffentlicht ,03.01.2017,/newsticker/meldung/Release-Candidate-der-verteilten-Datenbank-TiDB-veroeffentlicht-3586610.html
"Patentbeurteilungen, Arbeitsbedingungen, Gewerkschaftsrechte: Europäische Patentbeamte im Clinch mit ihrem Chef",03.01.2017,/newsticker/meldung/Patentbeurteilungen-Arbeitsbedingungen-Gewerkschaftsrechte-Europaeische-Patentbeamte-im-Clinch-mit-3586699.html
Ein Zehntel der Käufe im Online-Versandhandel geht wieder zurück,03.01.2017,/newsticker/meldung/Ein-Zehntel-der-Kaeufe-im-Online-Versandhandel-geht-wieder-zurueck-3586557.html
Smart Assistant: Lenovo klont Amazons Netzwerklautsprecher Echo,03.01.2017,/newsticker/meldung/Smart-Assistant-Lenovo-klont-Amazons-Netzwerklautsprecher-Echo-3586000.html
Russische Regierung wohl doch nicht hinter Hackerangriff auf US-Stromversorger,03.01.2017,/newsticker/meldung/Russische-Regierung-wohl-doch-nicht-hinter-Hackerangriff-auf-US-Stromversorger-3586133.html
Mercedes darf in Baden-Württemberg autonome Autos auf öffentlichen Straßen testen,03.01.2017,/newsticker/meldung/Mercedes-darf-in-Baden-Wuerttemberg-autonome-Autos-auf-oeffentlichen-Strassen-testen-3586155.html
Microsoft will zusammen mit NXP Autos intelligent machen,03.01.2017,/newsticker/meldung/Microsoft-will-zusammen-mit-NXP-Autos-intelligent-machen-3586073.html
Plattformübergreifende Benutzer-Interfaces: Kirigami UI 2 setzt auf Qt Quick Controls 2,03.01.2017,/newsticker/meldung/Plattformuebergreifende-Benutzer-Interfaces-Kirigami-UI-2-setzt-auf-Qt-Quick-Controls-2-3585761.html
CVE-Jahresrückblick: Android und Adobe mit den meisten Sicherheitslücken,03.01.2017,/newsticker/meldung/CVE-Jahresrueckblick-Android-und-Adobe-mit-den-meisten-Sicherheitsluecken-3585934.html
libpng-Entwickler schließen 21 Jahre alte Sicherheitslücke,03.01.2017,/newsticker/meldung/libpng-Entwickler-schliessen-21-Jahre-alte-Sicherheitsluecke-3585996.html
"macOS Sierra: Entwickler warnen vor ""kaputter"" PDF-Integration",03.01.2017,/newsticker/meldung/macOS-Sierra-Entwickler-warnen-vor-kaputter-PDF-Integration-3585932.html
Trumps Internet-Propaganda entfesselt neue Art des Wahlkampfs,03.01.2017,/newsticker/meldung/Trumps-Internet-Propaganda-entfesselt-neue-Art-des-Wahlkampfs-3585903.html
US-Grenzschutzbehörde: Systemausfall verursacht lange Wartezeiten an US-Flughäfen,03.01.2017,/newsticker/meldung/US-Grenzschutzbehoerde-Systemausfall-verursacht-lange-Wartezeiten-an-US-Flughaefen-3585770.html
Fruchtbarkeits-Startup Ovascience wechselt erneut CEO aus und orientiert sich um,03.01.2017,/newsticker/meldung/Fruchtbarkeits-Startup-Ovascience-wechselt-erneut-CEO-aus-und-orientiert-sich-um-3584168.html
De Maizière fordert mehr Vollmachten des Bundes im Kampf gegen Terror,03.01.2017,/newsticker/meldung/De-Maiziere-fordert-mehr-Vollmachten-des-Bundes-im-Kampf-gegen-Terror-3585756.html
Solarstratos: Mit Sonnenkraft an den Rand des Weltraums,03.01.2017,/newsticker/meldung/Solarstratos-Mit-Sonnenkraft-an-den-Rand-des-Weltraums-3574926.html
Verbraucherschützer warnen Merkel vor Ende der Datensparsamkeit ,03.01.2017,/newsticker/meldung/Verbraucherschuetzer-warnen-Merkel-vor-Ende-der-Datensparsamkeit-3585744.html
Bitcoinkurs klettert wieder über 1000 US-Dollar,02.01.2017,/newsticker/meldung/Bitcoinkurs-klettert-wieder-ueber-1000-US-Dollar-3585669.html
AMD verspricht Ausblick auf Vega-Grafikchips,02.01.2017,/newsticker/meldung/AMD-verspricht-Ausblick-auf-Vega-Grafikchips-3585671.html
Werbe-Tracking: Facebooks Kooperation mit Datenhändlern in der Kritik,02.01.2017,/newsticker/meldung/Werbe-Tracking-Facebooks-Kooperation-mit-Datenhaendlern-in-der-Kritik-3585647.html
Französische Arbeitnehmer haben nun ein Recht auf private Offline-Zeit,02.01.2017,/newsticker/meldung/Franzoesische-Arbeitnehmer-haben-nun-ein-Recht-auf-private-Offline-Zeit-3584261.html
Linux Distribution: OpenELEC 7.0 aktualisiert Mediacenter Kodi,02.01.2017,/newsticker/meldung/Linux-Distribution-OpenELEC-7-0-aktualisiert-Mediacenter-Kodi-3583786.html
Samsung Galaxy A5 und A3: Wasserdichte Smartphones mit AMOLED-Display,02.01.2017,/newsticker/meldung/Samsung-Galaxy-A5-und-A3-Wasserdichte-Smartphones-mit-AMOLED-Display-3585355.html
Akkuprobleme beim MacBook Pro: Apple will weitere Fälle untersuchen,02.01.2017,/newsticker/meldung/Akkuprobleme-beim-MacBook-Pro-Apple-will-weitere-Faelle-untersuchen-3585525.html
BND-Lizenz zur Netzüberwachung im NSA-Stil ist in Kraft,02.01.2017,/newsticker/meldung/BND-Lizenz-zur-Netzueberwachung-im-NSA-Stil-ist-in-Kraft-3585348.html
l+f: Lesen statt Lösegeld,02.01.2017,/newsticker/meldung/l-f-Lesen-statt-Loesegeld-3585353.html
SpaceX: Ursache für Raketenexplosion wohl gefunden,02.01.2017,/newsticker/meldung/SpaceX-Ursache-fuer-Raketenexplosion-wohl-gefunden-3585280.html
"Die E-Auto-Revolution kommt, aber Deutschland hinkt hinterher",02.01.2017,/newsticker/meldung/Die-E-Auto-Revolution-kommt-aber-Deutschland-hinkt-hinterher-3585248.html
Wachstumsschmerzen bei Fairphone: Produktion und Support am Limit,02.01.2017,/newsticker/meldung/Wachstumsschmerzen-bei-Fairphone-Produktion-und-Support-am-Limit-3581468.html
Upcycling von Altreifen in Marokko,02.01.2017,/newsticker/meldung/Upcycling-von-Altreifen-in-Marokko-3583873.html
(Fast) aufrollbares OLED-Display von LG,02.01.2017,/newsticker/meldung/Fast-aufrollbares-OLED-Display-von-LG-3583541.html
Erpresser-Botschaft in Dauerschleife: Smart TV von LG mit Ransomware infiziert,02.01.2017,/newsticker/meldung/Erpresser-Botschaft-in-Dauerschleife-Smart-TV-von-LG-mit-Ransomware-infiziert-3584043.html
MakerCon: Frühbucherrabatt bis Mitte Januar verlängert,02.01.2017,/newsticker/meldung/MakerCon-Fruehbucherrabatt-bis-Mitte-Januar-verlaengert-3583895.html
E-Auto-Kaufprämie: 9000 Anträge innerhalb von sechs Monaten,02.01.2017,/newsticker/meldung/E-Auto-Kaufpraemie-9000-Antraege-innerhalb-von-sechs-Monaten-3584070.html
IG-Metall-Chef: Umstieg auf reine Elektroautos kommt schneller,02.01.2017,/newsticker/meldung/IG-Metall-Chef-Umstieg-auf-reine-Elektroautos-kommt-schneller-3584021.html
Roboter statt Arbeiter: Foxconn bescheidener bei Automatisierungsplänen,02.01.2017,/newsticker/meldung/Roboter-statt-Arbeiter-Foxconn-bescheidener-bei-Automatisierungsplaenen-3583788.html
Moia: Volkswagens Mobilitätstochter offen für Investoren,02.01.2017,/newsticker/meldung/Moia-Volkswagens-Mobilitaetstochter-offen-fuer-Investoren-3583875.html
Programmiersprache des Jahres ist Java,02.01.2017,/newsticker/meldung/Programmiersprache-des-Jahres-ist-Java-3583597.html
App holt Touch Bar via iPad auf jeden Mac,02.01.2017,/newsticker/meldung/App-holt-Touch-Bar-via-iPad-auf-jeden-Mac-3583410.html
E-Book-Reader: Telekom verkauft Tolino-Anteil an Kobo-Eigentümer Rakuten,02.01.2017,/newsticker/meldung/E-Book-Reader-Telekom-verkauft-Tolino-Anteil-an-Kobo-Eigentuemer-Rakuten-3583455.html
Thunderbird: Mozilla schließt mit Sicherheitsupdate kritische Lücken,02.01.2017,/newsticker/meldung/Thunderbird-Mozilla-schliesst-mit-Sicherheitsupdate-kritische-Luecken-3583472.html
Harter Wettbewerb im All – Wie Airbus neuer Konkurrenz trotzen will,02.01.2017,/newsticker/meldung/Harter-Wettbewerb-im-All-Wie-Airbus-neuer-Konkurrenz-trotzen-will-3583414.html
Bundeswahlleiter: Fake News werden Wahlkampf beeinflussen,02.01.2017,/newsticker/meldung/Bundeswahlleiter-Fake-News-werden-Wahlkampf-beeinflussen-3583412.html
Dobrindt: E-Autos werden sich durchsetzen,02.01.2017,/newsticker/meldung/Dobrindt-E-Autos-werden-sich-durchsetzen-3583408.html
Augmented-Reality-Brille für Kurz- und Weitsichtige,02.01.2017,/newsticker/meldung/Augmented-Reality-Brille-fuer-Kurz-und-Weitsichtige-3569817.html
50 Jahre CES: Las Vegas lädt ein zur Jubiläumsmesse,02.01.2017,/newsticker/meldung/50-Jahre-CES-Las-Vegas-laedt-ein-zur-Jubilaeumsmesse-3582693.html
Skype-Bewerbung: Kultusministerin Eisenmann kündigt Überarbeitung an,15.01.2017,/newsticker/meldung/Skype-Bewerbung-Kultusministerin-Eisenmann-kuendigt-Ueberarbeitung-an-3596536.html
Keine digitale Leia in künftigen Star-Wars-Filmen,15.01.2017,/newsticker/meldung/Keine-digitale-Leia-in-kuenftigen-Star-Wars-Filmen-3596522.html
Facebook will gefälschte Nachrichten in Deutschland bekämpfen,15.01.2017,/newsticker/meldung/Facebook-will-gefaelschte-Nachrichten-in-Deutschland-bekaempfen-3596524.html
Android-Entwickler Andy Rubin plant High-End-Smartphone ,15.01.2017,/newsticker/meldung/Android-Entwickler-Andy-Rubin-plant-High-End-Smartphone-3596481.html
SpaceX: Erster erfolgreicher Raketenstart nach Explosion im September,15.01.2017,/newsticker/meldung/SpaceX-Erster-erfolgreicher-Raketenstart-nach-Explosion-im-September-3596499.html
Regierung und Wahlleitung bereiten sich auf Hacker-Angriffe bei Bundestagswahl vor,15.01.2017,/newsticker/meldung/Regierung-und-Wahlleitung-bereiten-sich-auf-Hacker-Angriffe-bei-Bundestagswahl-vor-3596474.html
Flache Linsen mit Nano-Partikeln für Smartphone- und Mini-Kameras,15.01.2017,/newsticker/meldung/Flache-Linsen-mit-Nano-Partikeln-fuer-Smartphone-und-Mini-Kameras-3596460.html
Baden-Württemberg fördert Apps und E-Learning mit 2 Millionen Euro,15.01.2017,/newsticker/meldung/Baden-Wuerttemberg-foerdert-Apps-und-E-Learning-mit-2-Millionen-Euro-3596462.html
Das Unbehagen in dem Digitalen,15.01.2017,/newsticker/meldung/Das-Unbehagen-in-dem-Digitalen-3594449.html
Was war. Was wird. Über kluge Entscheidungen in weniger klugen Zeiten,15.01.2017,/newsticker/meldung/Was-war-Was-wird-Ueber-kluge-Entscheidungen-in-weniger-klugen-Zeiten-3596403.html
Krypto-Experte: Keine Backdoor in WhatsApp,14.01.2017,/newsticker/meldung/Krypto-Experte-Keine-Backdoor-in-WhatsApp-3596359.html
Wacom bringt Gefühle mit digitaler Tinte zusammen,14.01.2017,/newsticker/meldung/Wacom-bringt-Gefuehle-mit-digitaler-Tinte-zusammen-3596384.html
SAPs IoT-Portfolio heißt jetzt Leonardo,14.01.2017,/newsticker/meldung/SAPs-IoT-Portfolio-heisst-jetzt-Leonardo-3596361.html
Lily-Camera-Projekt endet mit einer Klage,14.01.2017,/newsticker/meldung/Lily-Camera-Projekt-endet-mit-einer-Klage-3596343.html
Ohne Lüfter: Neuer Apollo-Lake-Barebone von Shuttle,14.01.2017,/newsticker/meldung/Ohne-Luefter-Neuer-Apollo-Lake-Barebone-von-Shuttle-3596237.html
Missbrauchsbeauftragter fordert Maßnahmen gegen Cybergrooming,14.01.2017,/newsticker/meldung/Missbrauchsbeauftragter-fordert-Massnahmen-gegen-Cybergrooming-3596320.html
Bericht: Regierung über härteres Vorgehen gegen Hasskommentare einig,14.01.2017,/newsticker/meldung/Bericht-Regierung-ueber-haerteres-Vorgehen-gegen-Hasskommentare-einig-3596310.html
"c't uplink 15.3: CES, Drucker, Programmieren auf dem Smartphone",14.01.2017,/newsticker/meldung/c-t-uplink-15-3-CES-Drucker-Programmieren-auf-dem-Smartphone-3596282.html
"Wochenzusammenfassung Replay 2/17: Massenbestellung, Großhack, Um-die-Ecke-Foto",14.01.2017,/newsticker/meldung/Wochenzusammenfassung-Replay-2-17-Massenbestellung-Grosshack-Um-die-Ecke-Foto-3595689.html
Nintendo Switch Hands-on: Zelda ruckelt auf dem Fernseher,14.01.2017,/newsticker/meldung/Nintendo-Switch-Hands-on-Zelda-ruckelt-auf-dem-Fernseher-3596033.html
Bitwig Studio 2: Neue Version der Musik-DAW kommt Ende Februar,13.01.2017,/newsticker/meldung/Bitwig-Studio-2-Neue-Version-der-Musik-DAW-kommt-Ende-Februar-3596194.html
YouTube Super Chat hebt bezahlte Kommentare hervor,13.01.2017,/newsticker/meldung/YouTube-Super-Chat-hebt-bezahlte-Kommentare-hervor-3596171.html
Linux-Tüftler wollen Intels Management Engine abschalten,13.01.2017,/newsticker/meldung/Linux-Tueftler-wollen-Intels-Management-Engine-abschalten-3596075.html
eBay plant Prüfservice gegen Markenfälschungen,13.01.2017,/newsticker/meldung/eBay-plant-Pruefservice-gegen-Markenfaelschungen-3596067.html
SpaceX: Immense Erwartungen trotz heikler Finanzen,13.01.2017,/newsticker/meldung/SpaceX-Immense-Erwartungen-trotz-heikler-Finanzen-3596081.html
Maas will das Urheberrecht wissenschaftsfreundlicher machen,13.01.2017,/newsticker/meldung/Maas-will-das-Urheberrecht-wissenschaftsfreundlicher-machen-3595989.html
Südkorea: De-facto-Chef von Samsung droht Verhaftung,13.01.2017,/newsticker/meldung/Suedkorea-De-facto-Chef-von-Samsung-droht-Verhaftung-3595789.html
Testphase: Kostenfreier Internetzugang auf europäischen Flügen der Lufthansa,13.01.2017,/newsticker/meldung/Testphase-Kostenfreier-Internetzugang-auf-europaeischen-Fluegen-der-Lufthansa-3593381.html
Wikileaks: Assange bei Begnadigung Mannings zur Auslieferung bereit,13.01.2017,/newsticker/meldung/Wikileaks-Assange-bei-Begnadigung-Mannings-zur-Auslieferung-bereit-3595836.html
WhatsApp: Bug erlaubt Einblick in verschlüsselte Nachrichten,13.01.2017,/newsticker/meldung/WhatsApp-Bug-erlaubt-Einblick-in-verschluesselte-Nachrichten-3595611.html
Kommentar: Unerlaubte Ausweiskopien – niemanden kümmert's,13.01.2017,/newsticker/meldung/Kommentar-Unerlaubte-Ausweiskopien-niemanden-kuemmert-s-3595520.html
Über 47 Millionen IT-Angriffe auf die Bundeswehr im Jahr 2016,13.01.2017,/newsticker/meldung/Ueber-47-Millionen-IT-Angriffe-auf-die-Bundeswehr-im-Jahr-2016-3595632.html
Prüfverfahren für Auto-Abgase: Tauziehen um strengeren Straßentest RDE,13.01.2017,/newsticker/meldung/Pruefverfahren-fuer-Auto-Abgase-Tauziehen-um-strengeren-Strassentest-RDE-3595268.html
New Yorks Ex-Bürgermeister Rudy Giuliani soll Trump bei Cybersecurity beraten,13.01.2017,/newsticker/meldung/New-Yorks-Ex-Buergermeister-Rudy-Giuliani-soll-Trump-bei-Cybersecurity-beraten-3595491.html
iPhone-Entstehung: Steve Jobs an Clickwheel-Telefon interessiert,13.01.2017,/newsticker/meldung/iPhone-Entstehung-Steve-Jobs-an-Clickwheel-Telefon-interessiert-3595235.html
Microsoft startet Abschiedskampagne für Windows 7,13.01.2017,/newsticker/meldung/Microsoft-startet-Abschiedskampagne-fuer-Windows-7-3595451.html
Verfassungsbeschwerde gegen Anti-Whistleblower-Gesetz,13.01.2017,/newsticker/meldung/Verfassungsbeschwerde-gegen-Anti-Whistleblower-Gesetz-3595346.html
Italien: Festgenommener Nuklearingenieur bestreitet Cyberspionage ,13.01.2017,/newsticker/meldung/Italien-Festgenommener-Nuklearingenieur-bestreitet-Cyberspionage-3595338.html
WordPress 4.7.1 sagt acht Sicherheitslücken und 62 Bugs Ade,13.01.2017,/newsticker/meldung/WordPress-4-7-1-sagt-acht-Sicherheitsluecken-und-62-Bugs-Ade-3595277.html
Plattformübergreifende Entwicklung: Kirigami UI 2 erschienen,13.01.2017,/newsticker/meldung/Plattformuebergreifende-Entwicklung-Kirigami-UI-2-erschienen-3595279.html
Akkumessung: US-Warentester empfehlen MacBook Pro nun doch,13.01.2017,/newsticker/meldung/Akkumessung-US-Warentester-empfehlen-MacBook-Pro-nun-doch-3595227.html
"""Gift für die Demokratie"": Grüne fordern Anmeldepflicht für Social Bots",13.01.2017,/newsticker/meldung/Gift-fuer-die-Demokratie-Gruene-fordern-Anmeldepflicht-fuer-Social-Bots-3595352.html
Streit um App-Store-Monopol: Richter lässt Klage gegen Apple zu,13.01.2017,/newsticker/meldung/Streit-um-App-Store-Monopol-Richter-laesst-Klage-gegen-Apple-zu-3595239.html
Human Rights Watch: Populismus kann zur Tyrannei führen,13.01.2017,/newsticker/meldung/Human-Rights-Watch-Populismus-kann-zur-Tyrannei-fuehren-3595231.html
Eclipse Che 5.0 ist fertig,13.01.2017,/newsticker/meldung/Eclipse-Che-5-0-ist-fertig-3595147.html
Twitter-Alternative App.net gibt auf,13.01.2017,/newsticker/meldung/Twitter-Alternative-App-net-gibt-auf-3595188.html
Bilderkennung: US-Militär interessiert sich für neuromorphe Chips,13.01.2017,/newsticker/meldung/Bilderkennung-US-Militaer-interessiert-sich-fuer-neuromorphe-Chips-3594912.html
Spielkonsole Nintendo Switch: Start am 3. März mit trickreichen Controllern und Zelda,13.01.2017,/newsticker/meldung/Spielkonsole-Nintendo-Switch-Start-am-3-Maerz-mit-trickreichen-Controllern-und-Zelda-3595173.html
Monster-Schach mit der Hololamp,13.01.2017,/newsticker/meldung/Monster-Schach-mit-der-Hololamp-3594979.html
Koordiniert: Microsoft veröffentlicht StaffHub,13.01.2017,/newsticker/meldung/Koordiniert-Microsoft-veroeffentlicht-StaffHub-3595143.html
